ID,name,s4CuId,s4CuType,s4TaskListId,s4ObjNr
a8d180e6-9f59-4b14-adf2-471b268cd4a5,"TX, OH, 1Ph, 100kVA, 12/21, 120/240,SSTL",EOH_TX_1_PH599890,"TX, OH, 1Ph, 100kVA, 12/21, 120/240,SSTL",00003830,CU00000000000014012800
0512070a-5418-4383-b690-35f3e277d40f,"TX, OH, 1Ph, 15kVA, 12/21, 120/240, SSTL",EOH_TX_1_PH599910,"TX, OH, 1Ph, 15kVA, 12/21, 120/240, SSTL",00003831,CU00000000000014012801
869aef4e-000d-4836-98fd-f53fb6b28524,"TX, OH, 1Ph, 167kVA, 12/21, 120/240,SSTL",EOH_TX_1_PH599930,"TX, OH, 1Ph, 167kVA, 12/21, 120/240,SSTL",00003832,CU00000000000014012802
8f631700-1c8a-4e40-b83a-762505f76583,"TX, OH, 1Ph, 25kVA, 12/21, 120/240, SSTL",EOH_TX_1_PH599950,"TX, OH, 1Ph, 25kVA, 12/21, 120/240, SSTL",00003833,CU00000000000014012803
589eb7bd-6599-4148-abc0-82a4f825293a,"TX, OH, 1Ph, 50kVA, 12/21, 240/480, SSTL",EOH_TX_1_PH599980,"TX, OH, 1Ph, 50kVA, 12/21, 240/480, SSTL",00005736,CU00000000000014012804
41c397ba-3125-416c-b56d-54ba21ced3e6,"TX, OH, 1Ph, 50kVA, 12/21, 120/240, SSTL",EOH_TX_1_PH600000,"TX, OH, 1Ph, 50kVA, 12/21, 120/240, SSTL",00003834,CU00000000000014012805
9e3423b7-244a-4fcd-a817-6877cdb5af37,"TX, OH, 1Ph, 25kVA, 21kV, 120/240, SSTL",EOH_TX_1_PH600210,"TX, OH, 1Ph, 25kVA, 21kV, 120/240, SSTL",00003835,CU00000000000014012806
66117e0e-3ef5-49e4-b729-fb23755b6011,"TX, OH, 1Ph, 50kVA, 21kV, 120/240, SSTL",EOH_TX_1_PH600310,"TX, OH, 1Ph, 50kVA, 21kV, 120/240, SSTL",00003836,CU00000000000014012807
39eb23a2-dde0-478d-8c93-182de096039a,"TX, OH, 1Ph, 50kVA, 2.4/4.2,120/240,SSTL",EOH_TX_1_PH750240,"TX, OH, 1Ph, 50kVA, 2.4/4.2,120/240,SSTL",00003837,CU00000000000014012808
751f5734-e4b5-4bb8-994a-a781594fd46f,"TX, OH, 1Ph, 25kVA, 2.4/4.2,120/240,SSTL",EOH_TX_1_PH754840,"TX, OH, 1Ph, 25kVA, 2.4/4.2,120/240,SSTL",00003838,CU00000000000014012809
b7e58e76-4cc4-41d3-9366-2a4dbb1a5eda,"TX, OH, 1Ph, 100kVA,2.4/4.2,120/240,SSTL",EOH_TX_1_PH754850,"TX, OH, 1Ph, 100kVA,2.4/4.2,120/240,SSTL",00003839,CU00000000000014012910
8114cca9-db50-4b00-adc9-2d4ac00e37f1,"TX, OH, 1Ph, 167kVA,2.4/4.2,120/240,SSTL",EOH_TX_1_PH754860,"TX, OH, 1Ph, 167kVA,2.4/4.2,120/240,SSTL",00003840,CU00000000000014012911
fc16f8e3-4475-40c7-a9f3-40e4b62489a1,"TX, OH,1Ph,25kVA,7.2/12.470,120/240,SSTL",EOH_TX_1_PH754870,"TX, OH,1Ph,25kVA,7.2/12.470,120/240,SSTL",00003841,CU00000000000014012912
a39eb4c7-408a-4051-80a0-9f9e15b79cb9,"TX, OH, 3Ph, 150kVA, 12kV, 120/208, SSTL",EOH_TX_3_PH303960,"TX, OH, 3Ph, 150kVA, 12kV, 120/208, SSTL",00013225,CU00000000000018080778
cd55234c-8521-4a3f-abb1-50c8ec86c4f0,"TX, OH, 3Ph, 300kVA, 12kV, 120/208, SSTL",EOH_TX_3_PH303961,"TX, OH, 3Ph, 300kVA, 12kV, 120/208, SSTL",00013226,CU00000000000018080779
a8b3cedb-53e0-4ba6-be6b-a28785f9f6b3,"TX, OH, 3Ph, 300kVA, 12kV, 277/480, SSTL",EOH_TX_3_PH303962,"TX, OH, 3Ph, 300kVA, 12kV, 277/480, SSTL",00013227,CU00000000000018080780
17236e4e-9b44-48f4-baa1-74a9869a7188,"TX, OH, 3Ph, 300kVA, 21kV, 120/208",EOH_TX_3_PH303963,"TX, OH, 3Ph, 300kVA, 21kV, 120/208",00013228,CU00000000000018080781
6269766f-a6c7-4fad-8220-9e2839b545f0,"TX, OH, 3Ph, 150kVA, 21kV, 120/208, SSTL",EOH_TX_3_PH303964,"TX, OH, 3Ph, 150kVA, 21kV, 120/208, SSTL",00013229,CU00000000000018080782
5b97e256-7e86-4a20-9c4c-4bce89cb01a2,"TX, OH, 3Ph, 300kVA, 21kV, 120/208, SSTL",EOH_TX_3_PH303965,"TX, OH, 3Ph, 300kVA, 21kV, 120/208, SSTL",00013230,CU00000000000018080783
a2f844a9-9dc4-41db-ace8-33a031c3617b,"TX, OH, 3Ph, 150kVA, 21kV, 277/480, SSTL",EOH_TX_3_PH303966,"TX, OH, 3Ph, 150kVA, 21kV, 277/480, SSTL",00013231,CU00000000000018080784
c3a0f515-f43f-4197-a5a8-4ba4c11234f2,"TX, OH, 3Ph, 300kVA, 21kV, 277/480, SSTL",EOH_TX_3_PH303967,"TX, OH, 3Ph, 300kVA, 21kV, 277/480, SSTL",00013232,CU00000000000018080785
ea77fec4-52f1-424d-b8e1-08f35155c999,"TX, OH, 3Ph, 300kVA, 4.2kV, 120/208",EOH_TX_3_PH304343,"TX, OH, 3Ph, 300kVA, 4.2kV, 120/208",00013848,CU00000000000029540537
34ec4d44-a2c5-44db-9cbb-5ecf207ddfd9,"TX, OH, 3Ph, 150kVA, 12kV, 120/208",EOH_TX_3_PH600430,"TX, OH, 3Ph, 150kVA, 12kV, 120/208",00003844,CU00000000000014012915
67f6477f-4975-4fe5-b976-dd9776d217f3,"TX, OH, 3Ph, 150kVA, 12kV, 277/480",EOH_TX_3_PH600440,"TX, OH, 3Ph, 150kVA, 12kV, 277/480",00003845,CU00000000000014012916
08ecfc01-e7af-46c3-bbe5-5fc42b9b448b,"TX, OH, 3Ph, 150kVA, 21kV, 120/208",EOH_TX_3_PH600450,"TX, OH, 3Ph, 150kVA, 21kV, 120/208",00003846,CU00000000000014012917
